REF,"OLD_REF",CODE EAN,SEGMENT PRODUIT ,SOUS SEGMENT PRODUIT,MARQUE,UNIVERS,GAMME,DESIGNATION,TAILLE,COULEUR,PCB,Statut, PPR TTC 2025, PAHT Brut 2025, PA HT remisé (20%)
1002868,38430-004-0,4009839292958,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,"Jeu de couteaux, 2 pcs. ZWILLING® Pro 
(38400-100 Couteau à larder et garnir 100 mm / 38401-200 Couteau de Chef 200 mm)",420x95,Noir,1,Actuel,"159,00 €","116,39 €","  93,11 € "
1002867,38430-003-0,4009839292903,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,"Jeu de couteaux, 2 pcs. ZWILLING® Pro 
(38400-200 Fourchette à viande 180 mm / 38402-180 Couteau à trancher 200 mm)",420x95,Noir,1,Actuel,"169,00 €","123,71 €","  98,97 € "
1002870,38430-007-0,4009839300653,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,"Jeu de couteaux, 3 pcs. ZWILLING® Pro 
(38400-100 Couteau à larder et garnir 100 mm / 38400-200 Couteau à trancher 200 mm / 38401-200 Couteau de Chef 200 mm)",420x135,Noir,1,Actuel,"239,00 €","174,95 €","  139,96 € "
1002866,38430-002-0,4009839292897,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO,"Jeu de 4 couteaux à steak ZWILLING® Pro 
(4 x 38409-121-0)",140x250,Noir,1,Actuel,"249,00 €","182,27 €","  145,82 € "
1023908,38530-101-0,4009839660719,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO LE BLANC,Couteau à larder et garnir 10 cm ZWILLING® Pro Le Blanc,100,Blanc,1,Actuel,"66,95 €","49,01 €","  39,21 € "
1023886,38530-131-0,4009839660559,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO LE BLANC,Couteau universel 13 cm ZWILLING® Pro Le Blanc,130,Blanc,1,Actuel,"72,95 €","53,40 €","  42,72 € "
1023902,38531-141-0,4009839660658,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO LE BLANC,Couteau de chef compact 14 cm ZWILLING® Pro Le Blanc,140,Blanc,1,Actuel,"76,95 €","56,33 €","  45,06 € "
1023903,38531-181-0,4009839660665,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO LE BLANC,Couteau de chef 18 cm ZWILLING® Pro Le Blanc,180,Blanc,1,Actuel,"99,95 €","73,16 €","  58,53 € "
1023904,38531-201-0,4009839660672,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO LE BLANC,Couteau de chef 20 cm ZWILLING® Pro Le Blanc,200,Blanc,1,Actuel,"109,00 €","79,79 €","  63,83 € "
1023907,38530-201-0,4009839660702,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO LE BLANC,Couteau à trancher 20 cm ZWILLING® Pro Le Blanc,200,Blanc,1,Actuel,"94,95 €","69,50 €","  55,60 € "
1023884,38536-231-0,4009839660535,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO LE BLANC,Couteau à pain 23 cm ZWILLING® Pro Le Blanc,230,Blanc,1,Actuel,"99,95 €","73,16 €","  58,53 € "
1023905,38538-181-0,4009839660689,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO LE BLANC,Couteau santoku avec alvéoles 18 cm ZWILLING® Pro Le Blanc,180,Blanc,1,Actuel,"114,00 €","83,45 €","  66,76 € "
1024101,38535-181-0,4009839661587,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO LE BLANC,Couteau de chef chinois 18 cm ZWILLING® Pro Le Blanc,180,Blanc,1,Actuel,"119,00 €","87,11 €","  69,69 € "
1023906,38539-121-0,4009839660696,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,ZWILLING® PRO LE BLANC,Couteau à steak 12 cm ZWILLING® Pro Le Blanc,120,Blanc,1,Actuel,"72,95 €","53,40 €","  42,72 € "
1001437,31020-051-0,4009839072710,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Eplucheur 7 cm PROFESSIONAL ""S""",70,Noir,1,Actuel,"62,95 €","46,08 €","  36,86 € "
1001451,31020-101-0,4009839072765,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Couteau à larder et garnir 10 cm PROFESSIONAL ""S""",100,Noir,1,Actuel,"62,95 €","46,08 €","  36,86 € "
1001496,31025-131-0,4009839073045,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Couteau universel 13 cm PROFESSIONAL ""S""",130,Noir,1,Actuel,"67,95 €","49,74 €","  39,79 € "
1001458,31020-161-0,4009839072802,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Couteau à trancher 16 cm PROFESSIONAL ""S""",160,Noir,1,Actuel,"77,95 €","57,06 €","  45,65 € "
1001464,31020-201-0,4009839072840,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Couteau à trancher 20 cm PROFESSIONAL ""S""",200,Noir,1,Actuel,"89,95 €","65,84 €","  52,67 € "
1001475,31021-201-0,4009839072918,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Couteau de chef 20 cm PROFESSIONAL ""S""",200,Noir,1,Actuel,"99,95 €","73,16 €","  58,53 € "
1001501,31026-201-0,4009839073076,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Couteau à pain 20 cm PROFESSIONAL ""S""",200,Noir,1,Actuel,"89,95 €","65,84 €","  52,67 € "
1002335,35645-000-0,4009839111457,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Jeu de couteaux, 2 pcs. PROFESSIONAL ""S"" 
(31020-100 Couteau à larder et garnir 100 mm / 31021-200 Couteau de Chef 200 mm)",420x95,Noir,1,Actuel,"149,00 €","109,07 €","  87,26 € "
1002340,35649-000-0,4009839150692,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Jeu de couteaux, 2 pcs. PROFESSIONAL ""S"" 
(31020-100 Couteau à larder et garnir 100 mm / 31117-180 Couteau Santoku 180 mm)",420x95,Noir,1,Actuel,"149,00 €","109,07 €","  87,26 € "
1002324,35601-100-0,4009839175398,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Jeu de couteaux, 2 pcs. PROFESSIONAL ""S"" 
(31020-200 Couteau à trancher 200 mm / 31023-180 Fourchette à viande 180 mm)",420x95,Noir,1,Actuel,"154,00 €","112,73 €","  90,18 € "
1002325,35602-000-0,4009839073182,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Jeu de couteaux, 3 pcs. PROFESSIONAL ""S"" 
(31020-100 Couteau à larder et garnir 100 mm / 31020-160 Couteau à trancher 160 mm / 31021-200 Couteau de Chef 200 mm)",420x135,Noir,1,Actuel,"199,00 €","145,67 €","  116,54 € "
1002330,35621-004-0,4009839282119,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Bloc de couteaux, bambou, 7 pcs. PROFESSIONAL ""S"" 
(31020-100 Couteau à larder et garnir 100 mm / 31025-130 Couteau universel 130 mm / 31021-200 Couteau de Chef 200 mm / 31026-200 Couteau à pain 200 mm / 32576-230 Fusil 230 mm / 41370-001 Ciseaux à multiples usages)",320x115x290,Nature,1,Actuel,"359,00 €","262,79 €","  210,23 € "
1002341,35662-000-0,4009839108112,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,"PROFESSIONAL ""S""","Bloc de couteaux, bois naturel, 8 pcs. PROFESSIONAL ""S"" 
(31020-100 Couteau à larder et garnir 100 mm / 31020-200 Couteau à trancher 200 mm / 31021-200 Couteau de Chef 200 mm / 31025-130 Couteau universel 130 mm / 31026-200Couteau à pain 200 mm / 32576-230 Fusil 230 mm / 43967-000 Ciseaux à multiples usages)",320x115x290,Nature,1,Actuel,"429,00 €","314,03 €","  251,22 € "
1001529,31070-091-0,4009839076114,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau à légumes 8 cm ****FOUR STAR®,80,Noir,1,Actuel,"47,95 €","35,10 €","  28,08 € "
1001533,31070-101-0,4009839006913,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau à larder et garnir 10 cm ****FOUR STAR®,100,Noir,1,Actuel,"47,95 €","35,10 €","  28,08 € "
1001539,31070-131-0,4009839037009,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau universel 13 cm ****FOUR STAR®,130,Noir,1,Actuel,"52,95 €","38,76 €","  31,01 € "
1001558,31071-141-0,4009839373541,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau de chef compact 14 cm ****FOUR STAR®,140,Noir,1,Actuel,"62,95 €","46,08 €","  36,86 € "
1001544,31070-161-0,4009839006951,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau à trancher 16 cm ****FOUR STAR®,160,Noir,1,Actuel,"62,95 €","46,08 €","  36,86 € "
1001549,31070-201-0,4009839007026,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau à trancher 20 cm ****FOUR STAR®,200,Noir,1,Actuel,"72,95 €","53,40 €","  42,72 € "
1001555,31070-261-0,4009839007088,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau à trancher 26 cm ****FOUR STAR®,260,Noir,1,Actuel,"89,95 €","65,84 €","  52,67 € "
1001593,31081-261-0,4009839031960,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau à trancher avec alvéoles 26 cm ****FOUR STAR®,260,Noir,1,Actuel,"104,00 €","76,13 €","  60,90 € "
1001595,31082-311-0,4009839049934,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau à saumon 31 cm ****FOUR STAR®,310,Noir,1,Actuel,"104,00 €","76,13 €","  60,90 € "
1001560,31071-161-0,4009839007118,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau de chef 16 cm ****FOUR STAR®,160,Noir,1,Actuel,"79,95 €","58,52 €","  46,82 € "
1001567,31071-201-0,4009839007132,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau de chef 20 cm ****FOUR STAR®,200,Noir,1,Actuel,"89,95 €","65,84 €","  52,67 € "
1001587,31076-201-0,4009839007262,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau à pain 20 cm ****FOUR STAR®,200,Noir,1,Actuel,"72,95 €","53,40 €","  42,72 € "
1001600,31086-141-0,4009839007347,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau à désosser 14 cm ****FOUR STAR®,140,Noir,1,Actuel,"69,95 €","51,20 €","  40,96 € "
1001581,31073-181-0,4009839037023,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couteau à filet 18 cm ****FOUR STAR®,180,Noir,1,Actuel,"72,95 €","53,40 €","  42,72 € "
1001578,31072-181-0,4009839007224,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Fourchette à découper 18 cm ****FOUR STAR®,180,Noir,1,Actuel,"79,95 €","58,52 €","  46,82 € "
1001612,31095-151-0,4009839207136,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,Couperet 15 cm ****FOUR STAR®,150,Noir,1,Actuel,"114,00 €","83,45 €","  66,76 € "
1002312,35175-000-0,4009839094897,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,"Jeu de couteaux, 2 pcs. ****FOUR STAR® 
(31070-100 Couteau à larder et garnir / 31071-200 Couteau de Chef 200 mm)",420x95,Noir,1,Actuel,"124,00 €","90,77 €","  72,62 € "
1002238,35048-000-0,4009839014451,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,"Jeu de couteaux, 3 pcs. ****FOUR STAR® 
(31070-100 Couteau à larder et garnir 100 mm / 31070-160 Couteau à trancher 160 mm / 31071-200 Couteau de Chef 200 mm)",420x135,Noir,1,Actuel,"169,00 €","123,71 €","  98,97 € "
1002246,35066-000-0,4009839188732,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,"Bloc de couteaux, bois naturel, 7 pcs. ****FOUR STAR® 
(31070-100 Couteau à larder et garnir 100 mm / 31070-130 Couteau universel 130 mm / 31071-200 Couteau de Chef 200 mm / 31076-200 Couteau à pain 200 mm / 32576-210 Fusil 210 mm/ 41370-001 Ciseaux à multiples usages)",300x115x260,Nature,1,Actuel,"299,00 €","218,87 €","  175,10 € "
1002298,35140-000-0,4009839115028,Couteaux,Couteaux avec mitre,ZWILLING,COUTEAUX,****FOUR STAR®,"Bloc de couteaux, bois naturel, 8 pcs. ****FOUR STAR® 
(31070-100 Couteau à larder et garnir 100 mm / 31070-130 Couteau universel 130 mm / 31070-160 Couteau à trancher 160 mm / 31071-200 Couteau de Chef 200 mm / 31076-200 Couteau à pain 200 mm / 32576-230 Fusil 230 mm / 41370-001 Ciseaux à multiples usages)",300x115x260,Nature,1,Actuel,"369,00 €","270,11 €","  216,09 € "
1002358,36110-061-0,4009839379659,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Éplucheur 6 cm ZWILLING® Gourmet,60,Noir,1,Actuel,"29,95 €","21,92 €","  17,54 € "
1002363,36110-071-0,4009839379666,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couteau à légumes 7 cm ZWILLING® Gourmet,70,Noir,1,Actuel,"29,95 €","21,92 €","  17,54 € "
1002368,36110-101-0,4009839379673,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couteau à larder et garnir 10 cm ZWILLING® Gourmet,100,Noir,1,Actuel,"34,95 €","25,58 €","  20,46 € "
1002373,36110-131-0,4009839379697,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couteau universel 13 cm ZWILLING® Gourmet,130,Noir,1,Actuel,"39,95 €","29,24 €","  23,39 € "
1002386,36111-141-0,4009839389986,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couteau de chef compact 14 cm ZWILLING® Gourmet,140,Noir,1,Actuel,"39,95 €","29,24 €","  23,39 € "
1002377,36110-161-0,4009839379703,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couteau à trancher 16 cm ZWILLING® Gourmet,160,Noir,1,Actuel,"44,95 €","32,90 €","  26,32 € "
1002381,36110-201-0,4009839389955,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couteau à trancher 20 cm ZWILLING® Gourmet,200,Noir,1,Actuel,"47,95 €","35,10 €","  28,08 € "
1002390,36111-201-0,4009839379710,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couteau de chef 20 cm ZWILLING® Gourmet,200,Noir,1,Actuel,"59,95 €","43,88 €","  35,10 € "
1002418,36118-181-0,4009839389924,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couteau santoku avec alvéoles 18 cm ZWILLING® Gourmet,180,Noir,1,Actuel,"69,95 €","51,20 €","  40,96 € "
1002406,36116-201-0,4009839379734,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couteau à pain 20 cm ZWILLING® Gourmet,200,Noir,1,Actuel,"47,95 €","35,10 €","  28,08 € "
1002402,36115-151-0,4009839379741,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couperet 15 cm ZWILLING® Gourmet,150,Noir,1,Actuel,"69,95 €","51,20 €","  40,96 € "
1002394,36112-181-0,4009839379758,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couperet chinois 18 cm ZWILLING® Gourmet,180,Noir,1,Actuel,"69,95 €","51,20 €","  40,96 € "
1002396,36113-181-0,4009839408021,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Couteau à filet 18 cm ZWILLING® Gourmet,180,Noir,1,Actuel,"42,95 €","31,44 €","  25,15 € "
1002438,36129-171-0,4009839407994,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,Nakiri 17 cm ZWILLING® Gourmet,170,Noir,1,Actuel,"54,95 €","40,22 €","  32,18 € "
1002442,36130-002-0,4009839377372,Couteaux,Couteaux sans mitre,ZWILLING,COUTEAUX,ZWILLING® GOURMET,"Jeu de couteaux, 2 pcs. ZWILLING® Gourmet 
(36110-100 Couteau à larder et garnir 100 mm / 36117-180 Couteau Santoku 180mm)",420x95,Noir,1,Actuel,"84,95 €","62,18 €","  49,74 € "
